Giver,Receiver,Year,Type,Points
NO,AL,2004,F,3.0
NO,AL,2004,SF,8.0
PL,AL,2023,F,0.0
PL,AL,2023,SF2,4.0
PL,AL,2021,F,0.0
PL,AL,2021,SF2,6.0
PL,AL,2019,F,0.0
PL,AL,2018,F,7.0
PL,AL,2017,SF1,0.0
PL,AL,2016,SF2,0.0
PL,AL,2015,F,0.0
PL,AL,2011,SF1,0.0
PL,AL,2010,F,2.0
PL,AL,2010,SF1,4.0
PL,AL,2009,F,0.0
PL,AL,2009,SF2,6.0
PL,AL,2008,F,0.0
PL,AL,2007,SF,0.0
PL,AL,2006,SF,0.0
PL,AL,2005,F,0.0
PL,AL,2004,F,0.0
PT,AL,2023,F,0.0
PT,AL,2022,SF1,0.0
PT,AL,2021,F,0.0
PT,AL,2021,SF2,9.0
PT,AL,2019,F,0.0
PT,AL,2018,F,10.0
PT,AL,2018,SF1,5.0
PT,AL,2017,SF1,0.0
PT,AL,2015,F,0.0
PT,AL,2014,SF1,0.0
PT,AL,2012,F,0.0
PT,AL,2011,SF1,4.0
PT,AL,2010,F,0.0
PT,AL,2010,SF1,0.0
PT,AL,2009,F,0.0
PT,AL,2008,F,0.0
PT,AL,2008,SF2,2.0
PT,AL,2007,SF,0.0
PT,AL,2006,SF,0.0
PT,AL,2005,F,0.0
PT,AL,2004,F,0.0
PT,AL,2004,SF,2.0
RO,AL,2023,F,5.0
RO,AL,2023,SF2,8.0
RO,AL,2021,F,0.0
RO,AL,2019,F,2.0
RO,AL,2019,SF2,5.0
RO,AL,2018,F,0.0
RO,AL,2015,F,0.0
RO,AL,2015,SF1,0.0
RO,AL,2013,SF2,0.0
RO,AL,2012,F,1.0
RO,AL,2012,SF1,4.0
RO,AL,2010,F,1.0
RO,AL,2009,F,0.0
RO,AL,2008,F,0.0
RO,AL,2007,SF,0.0
RO,AL,2006,SF,0.0
RO,AL,2005,F,0.0
RO,AL,2004,F,1.0
RO,AL,2004,SF,6.0
RU,AL,2021,F,0.0
RU,AL,2019,F,3.0
RU,AL,2019,SF2,7.0
RU,AL,2018,F,0.0
RU,AL,2015,F,0.0
RU,AL,2015,SF1,3.0
RU,AL,2014,SF1,0.0
RU,AL,2012,F,0.0
RU,AL,2012,SF1,2.0
RU,AL,2011,SF1,0.0
RU,AL,2010,F,0.0
RU,AL,2010,SF1,0.0
RU,AL,2009,F,0.0
RU,AL,2009,SF2,2.0
RU,AL,2008,F,0.0
RU,AL,2007,SF,0.0
RU,AL,2006,SF,2.0
RU,AL,2005,F,0.0
RU,AL,2004,F,0.0
SM,AL,2023,F,0.0
SM,AL,2023,SF2,
SM,AL,2021,F,2.0
SM,AL,2021,SF2,9.0
SM,AL,2019,F,7.0
SM,AL,2018,F,0.0
SM,AL,2015,F,0.0
SM,AL,2014,SF1,5.0
SM,AL,2013,SF2,6.0
SM,AL,2012,F,12.0
SM,AL,2012,SF1,10.0
SM,AL,2011,SF1,8.0
SM,AL,2008,F,3.0
RS,AL,2023,F,0.0
RS,AL,2021,F,0.0
RS,AL,2021,SF2,1.0
RS,AL,2019,F,0.0
RS,AL,2018,F,1.0
RS,AL,2016,SF2,8.0
RS,AL,2015,F,0.0
RS,AL,2015,SF1,0.0
RS,AL,2012,F,1.0
RS,AL,2011,SF1,0.0
RS,AL,2010,F,0.0
RS,AL,2010,SF1,2.0
RS,AL,2009,F,0.0
RS,AL,2009,SF2,0.0
RS,AL,2008,F,0.0
RS,AL,2008,SF2,0.0
RS,AL,2007,SF,0.0
CS,AL,2006,SF,0.0
CS,AL,2005,F,8.0
CS,AL,2004,F,8.0
CS,AL,2004,SF,6.0
SK,AL,2012,F,0.0
SK,AL,2010,F,0.0
SK,AL,2010,SF1,0.0
SK,AL,2009,F,0.0
SK,AL,2009,SF2,4.0
SI,AL,2023,F,7.0
SI,AL,2023,SF2,12.0
SI,AL,2022,SF1,6.0
SI,AL,2021,F,0.0
SI,AL,2019,F,0.0
SI,AL,2018,F,5.0
SI,AL,2017,SF1,1.0
SI,AL,2016,SF2,3.0
SI,AL,2015,F,0.0
SI,AL,2012,F,3.0
SI,AL,2010,F,0.0
SI,AL,2009,F,2.0
SI,AL,2009,SF2,7.0
SI,AL,2008,F,4.0
SI,AL,2007,SF,0.0
SI,AL,2006,SF,1.0
SI,AL,2005,F,0.0
SI,AL,2004,F,4.0
SI,AL,2004,SF,5.0
ES,AL,2023,F,0.0
ES,AL,2023,SF2,2.0
ES,AL,2021,F,0.0
ES,AL,2021,SF2,2.0
ES,AL,2019,F,0.0
ES,AL,2018,F,0.0
ES,AL,2018,SF1,9.0
ES,AL,2017,SF1,0.0
ES,AL,2015,F,0.0
ES,AL,2015,SF1,6.0
ES,AL,2014,SF1,0.0
ES,AL,2013,SF2,0.0
ES,AL,2012,F,0.0
ES,AL,2012,SF1,4.0
ES,AL,2011,SF1,0.0
